id,food_id,nutrient_key,value_per_100g,source_tier,source_description
1,10,energy,23.0,1,"USDA FoodData Central #168385 (SR Legacy, 'Amaranth leaves, raw'), https://fdc.nal.usda.gov/food-details/168385/nutrients"
2,10,protein,2.46,1,"USDA FoodData Central #168385 (SR Legacy, 'Amaranth leaves, raw'), https://fdc.nal.usda.gov/food-details/168385/nutrients"
3,10,total_fat,0.33,1,"USDA FoodData Central #168385 (SR Legacy, 'Amaranth leaves, raw'), https://fdc.nal.usda.gov/food-details/168385/nutrients"
4,10,water,91.69,1,"USDA FoodData Central #168385 (SR Legacy, 'Amaranth leaves, raw'), https://fdc.nal.usda.gov/food-details/168385/nutrients"
5,10,ash,1.5,1,"USDA FoodData Central #168385 (SR Legacy, 'Amaranth leaves, raw'), https://fdc.nal.usda.gov/food-details/168385/nutrients"
6,10,carbohydrate,4.02,1,"USDA FoodData Central #168385 (SR Legacy, 'Amaranth leaves, raw'), https://fdc.nal.usda.gov/food-details/168385/nutrients"
7,10,calcium,215.0,1,"USDA FoodData Central #168385 (SR Legacy, 'Amaranth leaves, raw'), https://fdc.nal.usda.gov/food-details/168385/nutrients"
8,10,iron,2.32,1,"USDA FoodData Central #168385 (SR Legacy, 'Amaranth leaves, raw'), https://fdc.nal.usda.gov/food-details/168385/nutrients"
9,10,magnesium,55.0,1,"USDA FoodData Central #168385 (SR Legacy, 'Amaranth leaves, raw'), https://fdc.nal.usda.gov/food-details/168385/nutrients"
10,10,phosphorus,50.0,1,"USDA FoodData Central #168385 (SR Legacy, 'Amaranth leaves, raw'), https://fdc.nal.usda.gov/food-details/168385/nutrients"
11,10,potassium,611.0,1,"USDA FoodData Central #168385 (SR Legacy, 'Amaranth leaves, raw'), https://fdc.nal.usda.gov/food-details/168385/nutrients"
12,10,sodium,20.0,1,"USDA FoodData Central #168385 (SR Legacy, 'Amaranth leaves, raw'), https://fdc.nal.usda.gov/food-details/168385/nutrients"
13,10,zinc,0.9,1,"USDA FoodData Central #168385 (SR Legacy, 'Amaranth leaves, raw'), https://fdc.nal.usda.gov/food-details/168385/nutrients"
14,10,copper,0.162,1,"USDA FoodData Central #168385 (SR Legacy, 'Amaranth leaves, raw'), https://fdc.nal.usda.gov/food-details/168385/nutrients"
15,10,manganese,0.885,1,"USDA FoodData Central #168385 (SR Legacy, 'Amaranth leaves, raw'), https://fdc.nal.usda.gov/food-details/168385/nutrients"
16,10,selenium,0.9,1,"USDA FoodData Central #168385 (SR Legacy, 'Amaranth leaves, raw'), https://fdc.nal.usda.gov/food-details/168385/nutrients"
17,10,vitamin_c,43.3,1,"USDA FoodData Central #168385 (SR Legacy, 'Amaranth leaves, raw'), https://fdc.nal.usda.gov/food-details/168385/nutrients"
18,10,thiamin,0.027,1,"USDA FoodData Central #168385 (SR Legacy, 'Amaranth leaves, raw'), https://fdc.nal.usda.gov/food-details/168385/nutrients"
19,10,riboflavin,0.158,1,"USDA FoodData Central #168385 (SR Legacy, 'Amaranth leaves, raw'), https://fdc.nal.usda.gov/food-details/168385/nutrients"
20,10,niacin,0.658,1,"USDA FoodData Central #168385 (SR Legacy, 'Amaranth leaves, raw'), https://fdc.nal.usda.gov/food-details/168385/nutrients"
21,10,pantothenic_acid,0.064,1,"USDA FoodData Central #168385 (SR Legacy, 'Amaranth leaves, raw'), https://fdc.nal.usda.gov/food-details/168385/nutrients"
22,10,vitamin_b6,0.192,1,"USDA FoodData Central #168385 (SR Legacy, 'Amaranth leaves, raw'), https://fdc.nal.usda.gov/food-details/168385/nutrients"
23,10,folate,85.0,1,"USDA FoodData Central #168385 (SR Legacy, 'Amaranth leaves, raw'), https://fdc.nal.usda.gov/food-details/168385/nutrients"
24,10,vitamin_b12,0.0,1,"USDA FoodData Central #168385 (SR Legacy, 'Amaranth leaves, raw'), https://fdc.nal.usda.gov/food-details/168385/nutrients"
25,10,vitamin_a_rae,146.0,1,"USDA FoodData Central #168385 (SR Legacy, 'Amaranth leaves, raw'), https://fdc.nal.usda.gov/food-details/168385/nutrients"
