id,name,fdc_id,calcium_absorption_factor,is_phytate_rich,is_precomputed,created_at,updated_at,is_supplement,is_vegan,cost_per_100g_usd,cost_source_tier,cost_source_description,cost_collected_at,brand,nutrition_researched_at
1,"Abiyuch, raw",167782,1.0,0,1,2026-06-09T20:58:57.620642+00:00,2026-06-09T20:58:57.620642+00:00,0,1,,,,,,2026-06-10T15:41:51.101908Z
2,"Acerola juice, raw",171687,1.0,0,1,2026-06-09T20:58:57.620642+00:00,2026-06-09T20:58:57.620642+00:00,0,1,,,,,,2026-06-10T15:41:54.006330Z
3,"Acerola, (west indian cherry), raw",171686,1.0,0,1,2026-06-09T20:58:57.620642+00:00,2026-06-09T20:58:57.620642+00:00,0,1,,,,,,
4,"Alfalfa seeds, sprouted, raw",168384,1.0,0,1,2026-06-09T20:58:57.620642+00:00,2026-06-09T20:58:57.620642+00:00,0,1,,,,,,
5,"Almond butter, creamy",2262074,1.0,0,1,2026-06-09T20:58:57.620642+00:00,2026-06-09T20:58:57.620642+00:00,0,1,,,,,,
6,"Amaranth grain, cooked",170683,1.0,0,1,2026-06-09T20:58:57.620642+00:00,2026-06-09T20:58:57.620642+00:00,0,1,,,,,,
7,"Amaranth grain, uncooked",170682,1.0,0,1,2026-06-09T20:58:57.620642+00:00,2026-06-09T20:58:57.620642+00:00,0,1,,,,,,
8,"Amaranth leaves, cooked, boiled, drained, with salt",168492,1.0,0,1,2026-06-09T20:58:57.620642+00:00,2026-06-09T20:58:57.620642+00:00,0,1,,,,,,
9,"Amaranth leaves, cooked, boiled, drained, without salt",169202,1.0,0,1,2026-06-09T20:58:57.620642+00:00,2026-06-09T20:58:57.620642+00:00,0,1,,,,,,
10,"Amaranth leaves, raw",168385,1.0,0,1,2026-06-09T20:58:57.620642+00:00,2026-06-09T20:58:57.620642+00:00,0,1,,,,,,2026-06-10T04:21:56.306605Z
11,"Animal fat, bacon grease",172345,1.0,0,1,2026-06-09T20:58:57.620642+00:00,2026-06-09T20:58:57.620642+00:00,0,1,,,,,,2026-06-10T15:45:22.102670Z
12,"Apple juice, canned or bottled, unsweetened, with added ascorbic acid",167771,1.0,0,1,2026-06-09T20:58:57.620642+00:00,2026-06-09T20:58:57.620642+00:00,0,1,,,,,,2026-06-10T15:46:17.093295Z
13,"Apple juice, canned or bottled, unsweetened, with added ascorbic acid, calcium, and potassium",167800,1.0,0,1,2026-06-09T20:58:57.620642+00:00,2026-06-09T20:58:57.620642+00:00,0,1,,,,,,
14,"Apple juice, canned or bottled, unsweetened, without added ascorbic acid",173933,1.0,0,1,2026-06-09T20:58:57.620642+00:00,2026-06-09T20:58:57.620642+00:00,0,1,,,,,,
15,"Apple juice, frozen concentrate, unsweetened, diluted with 3 volume water without added ascorbic acid",173935,1.0,0,1,2026-06-09T20:58:57.620642+00:00,2026-06-09T20:58:57.620642+00:00,0,1,,,,,,
16,"Apple juice, frozen concentrate, unsweetened, diluted with 3 volume water, with added ascorbic acid",167775,1.0,0,1,2026-06-09T20:58:57.620642+00:00,2026-06-09T20:58:57.620642+00:00,0,1,,,,,,
17,"Apple juice, frozen concentrate, unsweetened, undiluted, with added ascorbic acid",168188,1.0,0,1,2026-06-09T20:58:57.620642+00:00,2026-06-09T20:58:57.620642+00:00,0,1,,,,,,
18,"Apple juice, frozen concentrate, unsweetened, undiluted, without added ascorbic acid",173934,1.0,0,1,2026-06-09T20:58:57.620642+00:00,2026-06-09T20:58:57.620642+00:00,0,1,,,,,,
19,"Apple juice, with added vitamin C, from concentrate, shelf stable",2003590,1.0,0,1,2026-06-09T20:58:57.620642+00:00,2026-06-09T20:58:57.620642+00:00,0,1,,,,,,
20,"Apples, canned, sweetened, sliced, drained, heated",173930,1.0,0,1,2026-06-09T20:58:57.620642+00:00,2026-06-09T20:58:57.620642+00:00,0,1,,,,,,2026-06-10T04:25:05.519073Z
21,"Apples, dehydrated (low moisture), sulfured, stewed",171690,1.0,0,1,2026-06-09T20:58:57.620642+00:00,2026-06-09T20:58:57.620642+00:00,0,1,,,,,,2026-06-10T15:50:20.207434Z
22,"Apples, dehydrated (low moisture), sulfured, uncooked",173931,1.0,0,1,2026-06-09T20:58:57.620642+00:00,2026-06-09T20:58:57.620642+00:00,0,1,,,,,,2026-06-10T15:50:00.360136Z
23,"Apples, dried, sulfured, stewed, with added sugar",171693,1.0,0,1,2026-06-09T20:58:57.620642+00:00,2026-06-09T20:58:57.620642+00:00,0,1,,,,,,
24,"Apples, dried, sulfured, stewed, without added sugar",171692,1.0,0,1,2026-06-09T20:58:57.620642+00:00,2026-06-09T20:58:57.620642+00:00,0,1,,,,,,
25,"Apples, dried, sulfured, uncooked",171691,1.0,0,1,2026-06-09T20:58:57.620642+00:00,2026-06-09T20:58:57.620642+00:00,0,1,,,,,,
26,"Apples, frozen, unsweetened, heated (Includes foods for USDA's Food Distribution Program)",173932,1.0,0,1,2026-06-09T20:58:57.620642+00:00,2026-06-09T20:58:57.620642+00:00,0,1,,,,,,
27,"Apples, frozen, unsweetened, unheated (Includes foods for USDA's Food Distribution Program)",171694,1.0,0,1,2026-06-09T20:58:57.620642+00:00,2026-06-09T20:58:57.620642+00:00,0,1,,,,,,
28,"Apples, fuji, with skin, raw",1750340,1.0,0,1,2026-06-09T20:58:57.620642+00:00,2026-06-09T20:58:57.620642+00:00,0,1,,,,,,
29,"Apples, gala, with skin, raw",1750341,1.0,0,1,2026-06-09T20:58:57.620642+00:00,2026-06-09T20:58:57.620642+00:00,0,1,,,,,,
30,"Apples, granny smith, with skin, raw",1750342,1.0,0,1,2026-06-09T20:58:57.620642+00:00,2026-06-09T20:58:57.620642+00:00,0,1,,,,,,2026-06-10T04:30:48.182506Z
31,"Apples, honeycrisp, with skin, raw",1750343,1.0,0,1,2026-06-09T20:58:57.620642+00:00,2026-06-09T20:58:57.620642+00:00,0,1,,,,,,2026-06-10T15:54:43.199983Z
32,"Apples, raw, fuji, with skin (Includes foods for USDA's Food Distribution Program)",167793,1.0,0,1,2026-06-09T20:58:57.620642+00:00,2026-06-09T20:58:57.620642+00:00,0,1,,,,,,2026-06-10T15:55:49.204708Z
33,"Apples, raw, gala, with skin (Includes foods for USDA's Food Distribution Program)",168204,1.0,0,1,2026-06-09T20:58:57.620642+00:00,2026-06-09T20:58:57.620642+00:00,0,1,,,,,,
34,"Apples, raw, golden delicious, with skin",168202,1.0,0,1,2026-06-09T20:58:57.620642+00:00,2026-06-09T20:58:57.620642+00:00,0,1,,,,,,
35,"Apples, raw, granny smith, with skin (Includes foods for USDA's Food Distribution Program)",168203,1.0,0,1,2026-06-09T20:58:57.620642+00:00,2026-06-09T20:58:57.620642+00:00,0,1,,,,,,
36,"Apples, raw, red delicious, with skin (Includes foods for USDA's Food Distribution Program)",168201,1.0,0,1,2026-06-09T20:58:57.620642+00:00,2026-06-09T20:58:57.620642+00:00,0,1,,,,,,
37,"Apples, raw, with skin (Includes foods for USDA's Food Distribution Program)",171688,1.0,0,1,2026-06-09T20:58:57.620642+00:00,2026-06-09T20:58:57.620642+00:00,0,1,,,,,,
38,"Apples, raw, without skin",171689,1.0,0,1,2026-06-09T20:58:57.620642+00:00,2026-06-09T20:58:57.620642+00:00,0,1,,,,,,
39,"Apples, raw, without skin, cooked, boiled",173928,1.0,0,1,2026-06-09T20:58:57.620642+00:00,2026-06-09T20:58:57.620642+00:00,0,1,,,,,,
40,"Apples, raw, without skin, cooked, microwave",173929,1.0,0,1,2026-06-09T20:58:57.620642+00:00,2026-06-09T20:58:57.620642+00:00,0,1,,,,,,2026-06-10T04:34:26.139150Z
41,"Apples, red delicious, with skin, raw",1750339,1.0,0,1,2026-06-09T20:58:57.620642+00:00,2026-06-09T20:58:57.620642+00:00,0,1,,,,,,2026-06-10T16:00:36.887397Z
