id,food_name,classification,rewritten_name,cached_at
1,oats,vegan,,2026-05-12T22:48:53.132Z
3,oat milk,vegan,,2026-05-12T22:48:53.134Z
4,"oats, raw",vegan,,2026-05-12T22:48:53.135Z
5,"oil, oat",vegan,,2026-05-12T22:48:53.136Z
6,"cereal, oat bunches",vegan,,2026-05-12T22:48:53.137Z
7,"bagel, oat bran",vegan,,2026-05-12T22:48:53.138Z
8,"bagels, oat bran",vegan,,2026-05-12T22:48:53.139Z
9,"bread, oat bran",vegan,,2026-05-12T22:48:53.142Z
11,"cereal, oat squares",vegan,,2026-05-12T22:48:53.143Z
12,"muffin, oat bran",rewritten,"Vegan muffin, oat bran",2026-05-12T22:48:53.145Z
13,"muffins, oat bran",rewritten,"Vegan muffins, oat bran",2026-05-12T22:48:53.146Z
14,"oat bran, cooked",vegan,,2026-05-12T22:48:53.147Z
15,"oat bran, raw",vegan,,2026-05-12T22:48:53.149Z
16,"yogurt, greek, with oats",rewritten,"Plant-based yogurt, Greek-style, with oats",2026-05-12T22:48:53.150Z
17,"cereals, quaker, oat bran, quaker/mother's oat bran, dry",vegan,,2026-05-12T22:48:53.156Z
18,"bread, oat bran, toasted",vegan,,2026-05-12T22:48:53.158Z
20,"cereal, frosted oats with marshmallows",rewritten,"Cereal, frosted oats with vegan marshmallows",2026-05-12T22:48:53.159Z
21,"flour, oat, whole grain",vegan,,2026-05-12T22:48:53.160Z
22,"muffin, english, oat bran",vegan,,2026-05-12T22:48:53.161Z
23,"oat bran cereal, cooked",vegan,,2026-05-12T22:48:53.162Z
24,"oat flour, partially debranned",vegan,,2026-05-12T22:48:53.163Z
25,"rolls, dinner, oat bran",rewritten,"Vegan rolls, dinner, oat bran",2026-05-12T22:48:53.163Z
26,"cereals, oat bran, quaker, quaker/mother's oat bran, prepared with water, salt",vegan,,2026-05-12T22:48:53.164Z
27,"cereals, quaker, oat bran, quaker/mother's oat bran, prepared with water, no salt",vegan,,2026-05-12T22:48:53.165Z
28,"cereals, oats, regular and quick, not fortified, dry",vegan,,2026-05-12T22:48:53.166Z
29,"bread, reduced-calorie, oat bran",vegan,,2026-05-12T22:48:53.167Z
30,"cereal, oat bran, ready-to-eat",vegan,,2026-05-12T22:48:53.168Z
31,"cereals, quaker, quick oats, dry",vegan,,2026-05-12T22:48:53.169Z
32,"muffin, english, oat bran, with raisins",vegan,,2026-05-12T22:48:53.170Z
33,"oat milk, unsweetened, plain, refrigerated",vegan,,2026-05-12T22:48:53.172Z
34,"oats, whole grain, steel cut",vegan,,2026-05-12T22:48:53.173Z
35,"cereals, quaker, quick oats with iron, dry",vegan,,2026-05-12T22:48:53.174Z
36,"bread, reduced-calorie, oat bran, toasted",vegan,,2026-05-12T22:48:53.175Z
37,"cereals, oats, instant, fortified, plain, dry",vegan,,2026-05-12T22:48:53.176Z
38,"oats, whole grain, rolled, old fashioned",vegan,,2026-05-12T22:48:53.178Z
39,"cereals ready-to-eat, frosted oat cereal with marshmallows",rewritten,"Cereals ready-to-eat, frosted oat cereal with vegan marshmallows",2026-05-12T22:48:53.179Z
40,"cereals, oats, instant, fortified, with cinnamon and spice, dry",vegan,,2026-05-12T22:48:53.181Z
41,"cookie, marshmallow and peanut butter, with oat cereal, no bake",rewritten,"Vegan cookie, vegan marshmallow and peanut butter, with oat cereal, no bake",2026-05-12T22:48:53.182Z
42,"formulated bar, high fiber, chewy, oats and chocolate",rewritten,"Vegan formulated bar, high fiber, chewy, oats and dairy-free chocolate",2026-05-12T22:48:53.183Z
43,oats (includes foods for usda's food distribution program),vegan,,2026-05-12T22:48:53.185Z
44,"cereal or granola bar, peanuts , oats, sugar, wheat germ",vegan,,2026-05-12T22:48:53.186Z
45,"cereals ready-to-eat, oat bran flakes, health valley",vegan,,2026-05-12T22:48:53.187Z
46,"cereals ready-to-eat, post, honey bunches of oats, with almonds",rewritten,"Cereals ready-to-eat, plant-based bunches of oats, with almonds (no honey)",2026-05-12T22:48:53.188Z
47,"cereals ready-to-eat, quaker whole hearts oat cereal",vegan,,2026-05-12T22:48:53.190Z
48,"cereals ready-to-eat, quaker, mother's cinnamon oat crunch",vegan,,2026-05-12T22:48:53.191Z
49,"cereals ready-to-eat, quaker, quaker oat cinnamon life",vegan,,2026-05-12T22:48:53.192Z
50,"cereals ready-to-eat, quaker, quaker oat life, plain",vegan,,2026-05-12T22:48:53.193Z
51,pumpkin seeds,vegan,,2026-05-12T23:43:11.047Z
52,sunflower seeds,vegan,,2026-05-12T23:43:11.049Z
53,flax seeds,vegan,,2026-05-12T23:43:11.051Z
54,chia seeds,vegan,,2026-05-12T23:43:11.053Z
55,"seeds, watermelon seed kernels, dried",vegan,,2026-05-12T23:43:11.055Z
56,"seeds, hemp seed, hulled",vegan,,2026-05-12T23:43:11.056Z
57,olive oil,vegan,,2026-05-12T23:43:11.058Z
58,tofu,vegan,,2026-05-12T23:43:11.059Z
59,"peppers, bell, red, raw",vegan,,2026-05-12T23:43:11.062Z
60,carrots,vegan,,2026-05-12T23:43:11.063Z
61,"banana, raw",vegan,,2026-05-12T23:43:11.064Z
62,blueberries,vegan,,2026-05-12T23:43:11.065Z
63,"pineapple, raw",vegan,,2026-05-12T23:43:11.067Z
64,broccoli,vegan,,2026-05-13T00:40:49.702Z
65,algae oil supplement (dha/epa),vegan,,2026-05-13T01:27:15.456Z
66,vegan b12 supplement (cyanocobalamin),vegan,,2026-05-13T01:27:15.458Z
67,"shiitake mushrooms, dried",vegan,,2026-05-13T01:27:15.460Z
68,"black-eyed peas, cooked",vegan,,2026-05-13T01:27:15.461Z
69,almonds,vegan,,2026-05-13T01:27:15.463Z
70,vegan iodine supplement (potassium iodide),vegan,,2026-05-13T01:27:15.464Z
71,"carrot, raw",vegan,,2026-05-13T01:27:15.465Z
72,vegan vitamin d3 supplement (lichen-derived),vegan,,2026-05-13T01:27:15.466Z
73,"broccoli, cooked",vegan,,2026-05-13T02:20:15.658Z
74,"soybeans, dried",vegan,,2026-05-13T02:20:15.659Z
75,vegan choline supplement (bitartrate),vegan,,2026-05-13T02:20:15.660Z
76,"tofu, firm",vegan,,2026-05-13T02:20:15.661Z
77,"peanuts, raw",vegan,,2026-05-13T02:20:15.662Z
78,"wakame, dried",vegan,,2026-05-13T15:07:53.005Z
79,"sweet potato, baked",vegan,,2026-05-13T15:07:53.006Z
80,"tofu, firm, prepared with calcium sulfate",vegan,,2026-05-13T15:14:27.802Z
82,"kale, raw",vegan,,2026-05-13T15:14:27.803Z
84,"bok choy (chinese cabbage), raw",vegan,,2026-05-13T15:14:27.804Z
91,"soy milk, fortified",vegan,,2026-05-13T15:27:34.068Z
92,"spirulina, dried",vegan,,2026-05-13T15:27:34.069Z
93,"nori, dried",vegan,,2026-05-13T15:27:34.070Z
94,grape juice,vegan,,2026-05-13T15:27:34.070Z
95,vital wheat gluten (seitan flour),vegan,,2026-05-13T15:28:06.053Z
96,"lentils, cooked",vegan,,2026-05-13 21:50:20
97,"spinach, raw",vegan,,2026-05-13 21:50:20
98,"pumpkin seeds (pepitas), dried",vegan,,2026-05-13 21:50:20
99,"nutritional yeast, fortified",vegan,,2026-05-13 21:50:20
100,"flaxseed, ground",vegan,,2026-05-13 21:50:20
101,"nori seaweed, dried",vegan,,2026-05-13 21:50:20
102,brazil nuts,vegan,,2026-05-13 21:50:20
103,"oats, rolled, dry",vegan,,2026-05-13 21:50:20
104,"brown rice, cooked",vegan,,2026-05-13 21:50:20
105,"quinoa, cooked",vegan,,2026-05-13 21:50:20
106,"chickpeas (garbanzo beans), cooked",vegan,,2026-05-13 21:50:20
107,"black beans, cooked",vegan,,2026-05-13 21:50:20
108,"orange, raw",vegan,,2026-05-13 21:50:20
109,"blueberries, raw",vegan,,2026-05-13 21:50:20
110,"almonds, raw",vegan,,2026-05-13 21:50:20
111,"walnuts, raw",vegan,,2026-05-13 21:50:20
112,tempeh,vegan,,2026-05-13 21:50:20
113,"edamame, shelled, cooked",vegan,,2026-05-13 21:50:20
114,"dulse, dried",vegan,,2026-05-13 21:50:20
115,microalgae oil (schizochytrium sp.),vegan,,2026-05-13 21:50:20
116,"chlorella powder, dried",vegan,,2026-05-13 21:50:20
117,brewer's yeast,vegan,,2026-05-13 21:50:20
118,"lima beans, cooked",vegan,,2026-05-13 21:50:20
119,cucumber,vegan,,2026-05-13 21:50:20
120,iceberg lettuce,vegan,,2026-05-13 21:50:20
121,celery,vegan,,2026-05-13 21:50:20
122,rice bran,vegan,,2026-05-13 21:50:20
123,"sweet potatoes, cooked",vegan,,2026-05-13 21:50:20
124,"lentils, dried",vegan,,2026-05-13 21:50:20
125,vital wheat gluten (seitan),vegan,,2026-05-13 21:50:20
126,soy protein isolate,vegan,,2026-05-13 21:50:20
127,"black beans, dried",vegan,,2026-05-13 21:50:20
128,"kidney beans, dried",vegan,,2026-05-13 21:50:20
129,"soy flour, defatted",vegan,,2026-05-13 21:50:20
130,vital wheat gluten,vegan,,2026-05-13 21:50:20
131,"parsley, fresh",vegan,,2026-05-13 21:50:20
132,"swiss chard, raw",vegan,,2026-05-13 21:50:20
133,"cauliflower, raw",vegan,,2026-05-13 21:50:20
134,"broccoli, raw",vegan,,2026-05-13 21:50:20
135,"shiitake mushrooms, raw",vegan,,2026-05-13 21:50:20
136,"pumpkin seeds, dried",vegan,,2026-05-13 21:50:20
137,seitan (vital wheat gluten),vegan,,2026-05-13 21:50:20
138,iodized salt,vegan,,2026-05-13 23:09:41
139,vegan vitamin a supplement (retinyl palmitate),vegan,,2026-05-13 23:09:41
140,vegan vitamin c supplement (ascorbic acid),vegan,,2026-05-13 23:09:41
141,vegan vitamin e supplement (alpha-tocopherol),vegan,,2026-05-13 23:09:41
142,vegan vitamin k supplement (phytonadione),vegan,,2026-05-13 23:09:41
143,vegan thiamin supplement (b1),vegan,,2026-05-13 23:09:41
144,vegan riboflavin supplement (b2),vegan,,2026-05-13 23:09:41
145,vegan niacin supplement (b3),vegan,,2026-05-13 23:09:41
146,vegan vitamin b6 supplement (pyridoxine),vegan,,2026-05-13 23:09:41
147,vegan folate supplement (methylfolate),vegan,,2026-05-13 23:09:41
148,vegan biotin supplement (b7),vegan,,2026-05-13 23:09:41
149,vegan pantothenic acid supplement (b5),vegan,,2026-05-13 23:09:41
150,vegan calcium supplement (calcium citrate),vegan,,2026-05-13 23:09:41
151,vegan iron supplement (bisglycinate),vegan,,2026-05-13 23:09:41
152,vegan zinc supplement (picolinate),vegan,,2026-05-13 23:09:41
153,vegan magnesium supplement (citrate),vegan,,2026-05-13 23:09:41
154,vegan selenium supplement (selenomethionine),vegan,,2026-05-13 23:09:41
155,vegan copper supplement (gluconate),vegan,,2026-05-13 23:09:41
156,vegan chromium supplement (picolinate),vegan,,2026-05-13 23:09:41
157,vegan molybdenum supplement (sodium molybdate),vegan,,2026-05-13 23:09:41
158,vegan potassium supplement (potassium chloride),vegan,,2026-05-13 23:09:41
159,vegan ala supplement (flaxseed oil),vegan,,2026-05-13 23:09:41
160,"avocado, raw",vegan,,2026-05-14T00:28:52.702Z
161,"avocados, raw, all commercial varieties",vegan,,2026-05-14T00:50:34.414Z
162,"potato, white, baked, flesh and skin",vegan,,2026-05-14 01:19:09
163,brown rice,vegan,,2026-05-14T01:21:39.090Z
3237,"Black beans, dried",vegan,,2026-05-26T01:51:59.346065+00:00
3238,"Kidney beans, dried",vegan,,2026-05-26T01:51:59.350218+00:00
3239,"Soy flour, defatted",vegan,,2026-05-26T01:51:59.351550+00:00
3240,Vital wheat gluten,vegan,,2026-05-26T01:51:59.351733+00:00
3241,"Parsley, fresh",vegan,,2026-05-26T01:51:59.353518+00:00
3242,"Swiss chard, raw",vegan,,2026-05-26T01:51:59.353682+00:00
3243,"Cauliflower, raw",vegan,,2026-05-26T01:51:59.353808+00:00
3244,"Broccoli, raw",vegan,,2026-05-26T01:51:59.356456+00:00
3245,"Shiitake mushrooms, raw",vegan,,2026-05-26T01:51:59.357111+00:00
3246,Vegan B12 supplement (cyanocobalamin),vegan,,2026-05-26T01:51:59.357257+00:00
3247,Vegan vitamin D3 supplement (lichen-derived),vegan,,2026-05-26T01:51:59.357417+00:00
3248,Algae oil supplement (DHA/EPA),vegan,,2026-05-26T01:51:59.357522+00:00
